INFO 2025-05-05 21:12:11,010 basehttp 29300 28940 "GET /api/plants/ HTTP/1.1" 200 11126
INFO 2025-05-05 21:12:11,011 basehttp 29300 29144 "GET /api/user-plants/ HTTP/1.1" 200 2
WARNING 2025-05-05 21:12:11,276 basehttp 29300 21044 "GET /media/plant_images/Zamioculcas_Zamiifolia.jpg HTTP/1.1" 404 3804
WARNING 2025-05-05 21:12:11,276 basehttp 29300 28164 "GET /media/plant_images/Ficus_Lyrata.jpg HTTP/1.1" 404 3764
WARNING 2025-05-05 21:12:11,282 basehttp 29300 21128 "GET /media/plant_images/Pothos.jpg HTTP/1.1" 404 3740
WARNING 2025-05-05 21:12:11,282 basehttp 29300 11904 "GET /media/plant_images/Begonia_Rex.jpg HTTP/1.1" 404 3760
INFO 2025-05-05 21:14:54,818 basehttp 29300 19552 "OPTIONS /api/token/ HTTP/1.1" 200 0
INFO 2025-05-05 21:14:55,368 basehttp 29300 19552 "POST /api/token/ HTTP/1.1" 200 483
INFO 2025-05-05 21:14:55,565 basehttp 29300 19552 "GET /api/user/me/ HTTP/1.1" 200 207
INFO 2025-05-05 21:14:55,740 basehttp 29300 19552 "GET /api/user-plants/ HTTP/1.1" 200 2
INFO 2025-05-05 21:14:55,760 basehttp 29300 5576 "GET /api/plants/ HTTP/1.1" 200 11126
INFO 2025-05-05 21:14:55,850 basehttp 29300 19552 "GET /api/user-plants/ HTTP/1.1" 200 2
INFO 2025-05-05 21:14:55,862 basehttp 29300 5576 "GET /api/plants/ HTTP/1.1" 200 11126
WARNING 2025-05-05 21:14:56,186 basehttp 29300 25312 "GET /media/plant_images/Ficus_Lyrata.jpg HTTP/1.1" 404 3764
WARNING 2025-05-05 21:14:56,194 basehttp 29300 22396 "GET /media/plant_images/Zamioculcas_Zamiifolia.jpg HTTP/1.1" 404 3804
WARNING 2025-05-05 21:14:56,201 basehttp 29300 20656 "GET /media/plant_images/Pothos.jpg HTTP/1.1" 404 3740
WARNING 2025-05-05 21:14:56,233 basehttp 29300 26408 "GET /media/plant_images/Begonia_Rex.jpg HTTP/1.1" 404 3760
INFO 2025-05-05 21:14:59,781 basehttp 29300 5576 "GET /api/admin/users/ HTTP/1.1" 200 923
INFO 2025-05-05 21:14:59,840 basehttp 29300 27572 "GET /api/admin/users/ HTTP/1.1" 200 923
INFO 2025-05-05 21:14:59,888 basehttp 29300 19552 "GET /api/admin/plants/ HTTP/1.1" 200 11126
WARNING 2025-05-05 21:14:59,922 basehttp 29300 6136 "GET /media/plant_images/Ficus_Lyrata.jpg HTTP/1.1" 404 3764
INFO 2025-05-05 21:14:59,966 basehttp 29300 27572 "GET /api/admin/plants/ HTTP/1.1" 200 11126
WARNING 2025-05-05 21:15:00,228 basehttp 29300 13608 "GET /media/plant_images/Zamioculcas_Zamiifolia.jpg HTTP/1.1" 404 3804
WARNING 2025-05-05 21:15:00,229 basehttp 29300 28044 "GET /media/plant_images/Pothos.jpg HTTP/1.1" 404 3740
WARNING 2025-05-05 21:15:00,233 basehttp 29300 28552 "GET /media/plant_images/Begonia_Rex.jpg HTTP/1.1" 404 3760
INFO 2025-05-05 21:15:01,623 basehttp 29300 27572 "OPTIONS /api/admin/user-plants/?user=2 HTTP/1.1" 200 0
INFO 2025-05-05 21:15:01,708 basehttp 29300 27572 "GET /api/admin/user-plants/?user=2 HTTP/1.1" 200 808
INFO 2025-05-05 21:15:04,658 basehttp 29300 27572 "OPTIONS /api/admin/user-plants/4/water/ HTTP/1.1" 200 0
INFO 2025-05-05 21:15:04,725 views 29300 27572 Admin/Mod 'technik' watered plant 'Monstera' for user 'Milusia'.
INFO 2025-05-05 21:15:04,729 basehttp 29300 27572 "POST /api/admin/user-plants/4/water/ HTTP/1.1" 200 409
INFO 2025-05-05 21:15:04,810 basehttp 29300 27572 "GET /api/admin/user-plants/?user=2 HTTP/1.1" 200 808
INFO 2025-05-05 21:15:15,926 basehttp 29300 19552 "GET /api/plants/ HTTP/1.1" 200 11126
INFO 2025-05-05 21:15:15,926 basehttp 29300 27572 "GET /api/user-plants/ HTTP/1.1" 200 2
INFO 2025-05-05 21:15:16,007 basehttp 29300 7120 "GET /api/user-plants/ HTTP/1.1" 200 2
INFO 2025-05-05 21:15:16,007 basehttp 29300 5576 "GET /api/plants/ HTTP/1.1" 200 11126
WARNING 2025-05-05 21:15:16,271 basehttp 29300 5916 "GET /media/plant_images/Zamioculcas_Zamiifolia.jpg HTTP/1.1" 404 3804
WARNING 2025-05-05 21:15:16,271 basehttp 29300 7816 "GET /media/plant_images/Ficus_Lyrata.jpg HTTP/1.1" 404 3764
WARNING 2025-05-05 21:15:16,271 basehttp 29300 26168 "GET /media/plant_images/Pothos.jpg HTTP/1.1" 404 3740
WARNING 2025-05-05 21:15:16,275 basehttp 29300 26516 "GET /media/plant_images/Begonia_Rex.jpg HTTP/1.1" 404 3760
